ticker,asof_date,expiration,underlying_close,strike,atm_iv
AAPL,2023-10-05,2023-10-13,174.91000366210938,175.0,0.2605327015721593
AAPL,2023-10-05,2023-11-10,174.91000366210938,175.0,0.24389515783513
AAPL,2023-10-05,2023-12-08,174.91000366210938,175.0,0.2574716288670421
AAPL,2023-10-06,2023-10-13,177.49000549316406,177.0,0.2355296939595885
AAPL,2023-10-06,2023-11-10,177.49000549316406,177.0,0.2320871705160541
AAPL,2023-10-06,2023-12-08,177.49000549316406,177.0,0.2361458881719036
AAPL,2023-10-09,2023-10-20,178.99000549316406,179.0,0.2541848301332123
AAPL,2023-10-09,2023-11-10,178.99000549316406,179.0,0.2993995116513033
AAPL,2023-10-09,2023-12-08,178.99000549316406,179.0,0.2586623850148887
AAPL,2023-10-10,2023-10-20,178.38999938964844,178.0,0.2637896692784106
AAPL,2023-10-10,2023-11-10,178.38999938964844,178.0,0.2286933168413215
AAPL,2023-10-10,2023-12-15,178.38999938964844,178.0,0.2748130630740195
AAPL,2023-10-16,2023-10-27,178.72000122070312,179.0,0.2673116225112169
AAPL,2023-10-16,2023-11-17,178.72000122070312,179.0,0.230865614262639
AAPL,2023-10-16,2023-12-15,178.72000122070312,179.0,0.2289616378850874
AAPL,2023-10-17,2023-10-27,177.14999389648438,177.0,0.2186429175889624
AAPL,2023-10-17,2023-11-17,177.14999389648438,177.0,0.2582060288400524
AAPL,2023-10-17,2023-12-22,177.14999389648438,177.0,0.2539913410931829
AAPL,2023-10-23,2023-11-03,173.0,173.0,0.2518117988353564
AAPL,2023-10-23,2023-11-24,173.0,173.0,0.2644224648203795
AAPL,2023-10-23,2023-12-22,173.0,173.0,0.299451223296492
AAPL,2023-10-24,2023-11-03,173.44000244140625,173.0,0.2920559534503675
AAPL,2023-10-24,2023-11-24,173.44000244140625,173.0,0.2600523958056971
AAPL,2023-10-24,2023-12-29,173.44000244140625,173.0,0.2710945773511062
AAPL,2023-10-30,2023-11-10,170.2899932861328,170.0,0.2099078279405755
AAPL,2023-10-30,2023-12-01,170.2899932861328,170.0,0.2508285123170174
AAPL,2023-10-30,2023-12-29,170.2899932861328,170.0,0.2773564217833889
AAPL,2023-10-31,2023-11-10,170.77000427246094,171.0,0.2279848886686976
AAPL,2023-10-31,2023-12-01,170.77000427246094,171.0,0.2393325486366867
AAPL,2023-10-31,2024-01-05,170.77000427246094,171.0,0.27113619386821
AAPL,2023-11-06,2023-11-17,179.22999572753906,179.0,0.155133671918369
AAPL,2023-11-06,2023-12-08,179.22999572753906,179.0,0.1674099850820398
AAPL,2023-11-06,2024-01-05,179.22999572753906,179.0,0.1908194768637449
AAPL,2023-11-07,2023-11-17,181.82000732421875,182.0,0.1799216730742673
AAPL,2023-11-07,2023-12-08,181.82000732421875,182.0,0.2046525890783604
AAPL,2023-11-07,2024-01-12,181.82000732421875,182.0,0.1413078056776984
AAPL,2023-11-13,2023-11-24,184.8000030517578,185.0,0.1840554421960703
AAPL,2023-11-13,2023-12-15,184.8000030517578,185.0,0.1649411491944995
AAPL,2023-11-13,2024-01-12,184.8000030517578,185.0,0.2138357829531685
AAPL,2023-11-14,2023-11-24,187.44000244140625,187.0,0.2050136756079079
AAPL,2023-11-14,2023-12-15,187.44000244140625,187.0,0.2061817346492533
AAPL,2023-11-14,2024-01-19,187.44000244140625,187.0,0.21153525752487
AAPL,2023-11-20,2023-12-01,191.4499969482422,191.0,0.1933945807788731
AAPL,2023-11-20,2023-12-22,191.4499969482422,191.0,0.1977298544824936
AAPL,2023-11-20,2024-01-19,191.4499969482422,191.0,0.1962827037192734
AAPL,2023-11-21,2023-12-01,190.63999938964844,191.0,0.2287118686811462
AAPL,2023-11-21,2023-12-22,190.63999938964844,191.0,0.1843493415358374
AAPL,2023-11-21,2024-01-26,190.63999938964844,191.0,0.1858259576315032
AAPL,2023-11-27,2023-12-08,189.7899932861328,190.0,0.1454908273966212
AAPL,2023-11-27,2023-12-29,189.7899932861328,190.0,0.1644495942386683
AAPL,2023-11-27,2024-01-26,189.7899932861328,190.0,0.1308142872945128
AAPL,2023-11-28,2023-12-08,190.3999938964844,190.0,0.1532499586714523
AAPL,2023-11-28,2023-12-29,190.3999938964844,190.0,0.1722865974209216
AAPL,2023-11-28,2024-02-02,190.3999938964844,190.0,0.1392842524235012
AAPL,2023-12-04,2023-12-15,189.42999267578125,189.0,0.1026246334830291
AAPL,2023-12-04,2024-01-05,189.42999267578125,189.0,0.1579571284317787
AAPL,2023-12-04,2024-02-02,189.42999267578125,189.0,0.1485806510936594
